FID,Region,Country,Plant,NumReactor
97,Asia - Far East,CHINA,GUANGDONG,2
98,Europe - Western,GERMANY,GUNDREMMINGEN,3
99,America - Northern,UNITED STATES OF AMERICA,H.B. ROBINSON,1
100,America - Northern,UNITED STATES OF AMERICA,HADDAM NECK,1
101,Asia - Far East,CHINA,HAIYANG,2
102,America - Northern,UNITED STATES OF AMERICA,HALLAM,1
103,Asia - Far East,JAPAN,HAMAOKA,5
104,Europe - Western,UNITED KINGDOM,HARTLEPOOL,2
105,America - Northern,UNITED STATES OF AMERICA,HATCH,2
106,Europe - Western,GERMANY,HDR GROSSWELZHEIM,1
107,Europe - Western,UNITED KINGDOM,HEYSHAM,4
108,Asia - Far East,JAPAN,HIGASHI DORI,1
109,Europe - Western,UNITED KINGDOM,HINKLEY POINT A,2
110,Europe - Western,UNITED KINGDOM,HINKLEY POINT B,2
111,Asia - Far East,CHINA,HONGYANHE,4
112,America - Northern,UNITED STATES OF AMERICA,HOPE CREEK,1
113,America - Northern,UNITED STATES OF AMERICA,HUMBOLDT BAY,1
114,Europe - Western,UNITED KINGDOM,HUNTERSTON A,2
115,Europe - Western,UNITED KINGDOM,HUNTERSTON B,2
116,,LITHUANIA,IGNALINA,2
117,Asia - Far East,JAPAN,IKATA,3
118,America - Northern,UNITED STATES OF AMERICA,INDIAN POINT,3
119,Europe - Western,GERMANY,ISAR,2
120,Europe - Western,SPAIN,JOSE CABRERA,1
121,Asia - Far East,JAPAN,JPDR,1
122,Asia - Middle East and South,INDIA,KAIGA,4
123,Asia - Middle East and South,INDIA,KAKRAPAR,4
124,Europe - Central and Eastern,RUSSIAN FEDERATION,KALININ,4
125,Asia - Middle East and South,PAKISTAN,KANUPP,1
126,Asia - Far East,JAPAN,KASHIWAZAKI KARIWA,7
